name;area;employer;salary;experience;monthly_hours
Аналитик данных (Middle);Владивосток;DNS Технологии;138000.0;1;176.0
Junior ML разработчик;Казань;РТСИМ;50000.0;1;176.0
Системный администратор/инженер технической поддержки (IT Infrastructure & Retail Solutions);Алматы;Decathlon;67500.0;1;176.0
Python-разработчик;Москва;ИЦ АЙ-ТЕКО;270000.0;3;176.0
Преподаватель детских IT курсов (Python, HTML, Нейросети, Arduino);Волгодонск;Компьютерная академия TOP (Компьютерная Академия ТОП);35000.0;1;84.0
Fullstack-разработчик;Москва;Асылгареева Алина Айдаровна;304000.0;3;176.0
Аналитик риск отчетности;Москва;Россельхозбанк;;1;176.0
Senior Full-stack developer (React, Node, Python);Алматы;ОнТаргет ЛАБС;;3;176.0
Риск-аналитик по рыночным рискам (Управление активами);Москва;Компания БКС;;1;176.0
Аналитик по вредоносному ПО (Malware Analyst);Минск;ActiveCloud;;3;176.0
Junior Python Developer в Минске;Минск;Финсельват;;1;176.0
GIS Developer;Атырау;AG TECH;;3;176.0
Middle Python Developer;Красноярск;Центр цифрового развития;95000.0;1;176.0
Product Analyst, Core team;Польша;Fundraise Up;445500.0;3;176.0
Специалист по искусственному интеллекту (AI/ML Specialist) / Главный архитектор;Москва;Абсолют;500000.0;1;165.0
AI-разработчик (Python / PHP);Новосибирск;СП Солюшен;;1;176.0
Senior DevOps Engineer;Москва;iiko, Компания Айко;350000.0;6;176.0
Администратор баз данных MySQL;Москва;Millennium;;6;
Python-разработчик;Москва;ИЦ АЙ-ТЕКО;260000.0;6;176.0
Аналитик DWH;Москва;Datanomica;;1;176.0
Стажер-программист (Linux);Обнинск;Базальт СПО;80000.0;0;
Junior Python-разработчик (Аналитика данных);Нижний Новгород;АНО АЦГ;;1;176.0
Педагог дополнительного образования;Михайловск (Ставропольский край);Государственное автономное Образовательное учреждение Дополнительного Образования Центр Для Одаренных Детей Поиск;49140.0;0;154.0
Fullstack-разработчик;Москва;Million Miles;135000.0;3;176.0
Инженер по автоматизации тестирования API кредитных продуктов (Python);Санкт-Петербург;Ozon;;1;176.0
ПРМ (Продукт риск менеджер) в Департамент системы принятие решение/Кредитные риски;Алматы;Микрофинансовая организация ФРИДОМ ФИНАНС Кредит;;1;176.0
Маркетинговый аналитик;Москва;АВИА ЦЕНТР;;3;176.0
Infrastructure Security Engineer (Network);Астана;EXNESS Global Limited;;3;176.0
Ведущий системный администратор / Руководитель отдела системного администрирования;Санкт-Петербург;РОСГАЗ;175000.0;3;176.0
Региональный менеджер (проектные продажи электротехники);Набережные Челны;Питон Кама;;1;176.0
Senior Devops-engineer;Москва;М.Видео-Эльдорадо;;3;176.0
Разработчик нейросетевых алгоритмов / Специалист по машинному обучению (LLM, CV, RL);Москва;Федеральное автономное учреждение Государственный Научно-Исследовательский Институт Авиационных Систем;110000.0;1;176.0
Веб - программист;Москва;НПП Сенсорные технологии;125000.0;1;176.0
Аналитик данных (Support);Москва;Aviasales.ru;;1;176.0
Учитель информатики;Торжок;МБОУ СОШ № 5 им. Героя России Клещенко В.П.;37500.0;1;176.0
Продуктовый аналитик;Санкт-Петербург;Хилби;192000.0;1;176.0
BI Engineer;Астана;Syrve;;3;176.0
Инженер по автоматизации тестирования LTE Base Station (Python);Санкт-Петербург;YADRO;;3;176.0
Python-разработчик;Санкт-Петербург;Лоция;;3;176.0
Технический руководитель команды разработки (космические агрегаты);Москва;БЮРО 1440;;6;176.0
Full-Stack QA/Тестировщик (Python);Санкт-Петербург;Ред Софт;;1;176.0
Senior DevOps-инженер (команда Core Infra);Москва;Купер;;6;176.0
Python разработчик (SberOS);Москва;СБЕР;;3;176.0
Программист по работе с электронными компонентами и сенсорами;Хабаровск;Институт Исследования Нейросетей и Робототехники;100000.0;3;176.0
Middle+/Senior Python Developer (Развитие ПО взаимодействия с ОС Linux/Windows в сфере ИБ, VM);Уфа;Смартап;150000.0;3;176.0
Инженер-интегратор коллаборативных роботов / Робототехник-программист;Набережные Челны;Алабуга, ОЭЗ ППТ;150000.0;3;180.0
Python-разработчик (ai, ml);Москва;ИЦ АЙ-ТЕКО;210000.0;3;176.0
Аналитик данных;Москва;СБЕР;;1;176.0
Python разработчик;Москва;Сережкин Константин Сергеевич;300000.0;3;176.0
Python-разработчик;Алматы;Ракетная фирма;;3;88.0
Специалист отдела автоматизации бизнес процессов;Алматы;NOMAD insurance;;3;176.0
Программист-аналитик;Воронеж;ОФИСМАГ;;1;176.0
Инженер (ТЭК);Москва;СИГМА;;3;176.0
Backend-разработчик (Python / FastAPI / Telegram Bot);Брянск;Милет Фэшн Групп;62500.0;1;154.0
Search Quality & ML Lead;Москва;Any;550000.0;3;176.0
ML инженер (Early Drug Discovery);Санкт-Петербург;ГЕРОФАРМ;;3;176.0
