name;salary;experience;company;region;monthly_hours
Разработчик Python в LLM Platform;;3;Т-Банк;Санкт-Петербург;176.0
Python developer;;1;Фаст Софт;Санкт-Петербург;176.0
Разработчик встраиваемого ПО на C++/Python (Robotics SW);;6;R&D компания, разработчик интеллектуальных роботов;Москва;176.0
Python/AI разработчик;;3;Инсейлс Рус;Москва;176.0
Backend-разработчик Python;;1;REALSOFT;Бухара;176.0
Автоматизатор Python;70000.0;1;Дэстэн Партнерс;Москва;176.0
Junior Python RPA Developer;22500.0;0;Частная компания Python RPA Ltd.;Алматы;176.0
Senior Python разработчик AI агентов;;3;СБЕР;Москва;176.0
Backend разработчик Python;;3;Монитор Софт;Жуковский  (Московская область);176.0
Senior Python Developer;;6;Филиал компании Лист Ренталс Лимитед;Москва;176.0
Mobile QA инженер (ручное+автотестирование, Python);;3;Лига Ставок;Москва;176.0
Наставник по автоматизации тестирования (Java / Python / JavaScript) в онлайн-школу программирования;;3;Хекслет;Москва;
Senior Python Developer;;6;Evercode Lab;Москва;176.0
Python-разработчик (Middle);150000.0;3;Бумхиминвест;Пермь;176.0
Python-разработчик в Fintech;;3;Secunda;Москва;176.0
SDET python (NMS);;3;ТехАргос;Москва;176.0
Python разработчик;;1;Лига Цифровой Экономики;Москва;176.0
Full Stack QA (Python);;3;Альфа-Деньги;Москва;176.0
Fullstack-разработчик (Python, React/Typescript);;3;Гринатом;Санкт-Петербург;176.0
Middle - python - разработчик;150000.0;1;Труф Теллер;Москва;176.0
Python Developer;150000.0;1;ISD Parking Solutions;Москва;176.0
Python-разработчик (middle);;3;T2;Москва;176.0
Преподаватель программирования в онлайн-школу (Python, Unity, HTML);75000.0;0;EasyCode;Воронеж;143.0
Lead QA Auto Python (MWS AI);;3;МТС;Москва;176.0
Python-разработчик в Food.ru;;3;Х5;Москва;176.0
Тестировщик-автоматизатор (Python);80000.0;0;Тензор;Ярославль;176.0
Python разработчик (MLOps);;1;Т1;Екатеринбург;176.0
Python-разработчик;;1;Интернет вещей;Тольятти;176.0
Программист, Fullstack-разработчик (1C/Python);;1;АДР;Санкт-Петербург;176.0
Python-разработчик;200000.0;1;Финансово-правовой альянс;Санкт-Петербург;176.0
Senior Python Backend Engineer (Asyncio, Highload);585000.0;6;Betby;Черногория;176.0
Преподаватель Python и Roblox в онлайн-школу программирования;50000.0;0;IT школа Hello World;Минск;110.0
Middle Python Developer;95000.0;1;Центр цифрового развития;Красноярск;176.0
Python-разработчик;;3;Прошин Евгений;Волгоград;176.0
Python-разработчик;;3;Т-Банк;Сочи;176.0
Senior Python Engineer (AI & Automation);;3;Syberry CIS;Минск;176.0
Python Developer (FastAPI) в iGaming;228000.0;3;JT marketing;Тбилиси;176.0
AI / LLM Automation Engineer (Python);;1;Маджестик;Казань;
Python Backend Developer;;3;«ФИНАНСОВЫЙ ХОЛДИНГ «РЕСПУБЛИКА»;Алматы;176.0
Software engineer (Python / JavaScript) — AI-first (Vibe coding);;1;Improvado KZ;Тбилиси;176.0
Fullstack разработчик (Python / FastAPI);;3;СИСТЭМ ЭЛЕКТРИК;Томск;176.0
QA Engineer (Python) / Инженер по автоматизированному тестированию (TATLIN.UNIFIED);;6;YADRO;Санкт-Петербург;176.0
Аналитик-стажер / Начинающий специалист (Продуктовые метрики, Excel, Python);;0;ЕвроХим, Минерально-Химическая Компания;Москва;
Python-разработчик для ИИ-агентов (автоматизация и интеграции);;1;Компания БКС;Москва;176.0
Python-разработчик;;1;БИЗНЕС КОННЕКТ;Москва;176.0
Software Engineer Python;270000.0;3;DIGITCORE;Москва;176.0
SDET Python (Sandbox);;3;Лаборатория Касперского;Москва;176.0
Python разработчик (Инструмент управления численностью);;1;СБЕР;Екатеринбург;176.0
Team Lead Python [ИРТЕЯ];;6;МТС;Москва;176.0
Старший инженер по автоматизации тестирования (Python), Маркетплейс, Заказы в ЛК продавца;;3;Ozon;Москва;176.0
Python/C++ Developer (Tanks Blitz);;3;Леста Игры;Минск;176.0
Аналитик - разработчик (Python);;3;Московский метрополитен;Москва;176.0
Middle fullstack (python/vue) developer/Fullstack-разработчик (python/vue);;3;Арнест ЮниРусь;Санкт-Петербург;176.0
Senior QA Automation Engineer (Python);;6;2ГИС;Москва;176.0
Trainee/Python Developer;;0;Арелаг консалт;Минск;176.0
AQA (Python);;1;Протей, НТЦ;Санкт-Петербург;176.0
Официант;100000.0;0;Питон;Новосибирск;264.0
Руководитель направления (Python Lead);;6;СБЕР;Самара;176.0
Python SDET в команду нагрузочного тестирования;;3;АйрисДев;Минск;176.0
Python-разработчик (Senior);;6;АЛМИ Партнер;Москва;176.0
Аналитик банковского сектора (SQL, Python);;3;Центральный банк Российской Федерации (Банк России);Москва;176.0
Преподаватель ИТ-дисциплин (Python);;1;Университет Иннополис;Москва;
Python Developer;;1;Aston;Москва;176.0
Аналитик данных (python, sql);180000.0;3;Россельхозбанк;Москва;176.0
Python-разработчик;2205.0;1;TODOO;Ташкент;176.0
Backend-разработчик Python (Junior);112500.0;0;Алабуга, ОЭЗ ППТ;Иннополис;176.0
Python backend разработчик в AI‑стартап;;3;NanoHire;Москва;176.0
Python Developer (Django / amoCRM / AI);150000.0;1;Говори24;Санкт-Петербург;176.0
Python Developer middle;;3;KEDOO Entertainment;Москва;176.0
Python разработчик;;3;ИЦ АЙ-ТЕКО;Москва;176.0
Стажер - Инженер по автоматизации тестирования, QA Auto Python, API, Ozon Bank;;0;Ozon;Санкт-Петербург;176.0
Python-developer;137500.0;1;Тензор;Ярославль;176.0
Python Engineer;;0;SpectrumData;Екатеринбург;176.0
